RENDIMENTO_2023;IDEB_2023;INSE_2023;TDI_2023;IED_2023;AFD_2023;DSU_2023;IRD_2023;ATU_2023;HAD_2023;ICG_2023;TNR_2023;SPAECE_MEDIA_2023;INF_2023;PCB_2023;PCH_2023
0.964823;4.8;4.43;17.8;380.1;86.55;94.3;2.309407;34.2;7.0;3;4.9;246.812534965973;10.0;6.779661016949152;49.136786188579016
0.983448;4.8;4.37;22.6;380.0;99.6;100.0;3.469876;33.3;6.0;3;0.5;239.8360845043775;8.0;9.13978494623656;53.38345864661655
1.0;4.8;4.54;14.1;418.9;96.95;100.0;2.675963;35.7;4.9;4;2.8;222.769413977727;9.0;17.647058823529413;54.95049504950495
0.939862;5.0;4.62;19.9;396.0;99.05;100.0;2.994031;34.1;7.0;3;1.6;258.9924367499025;8.0;10.580204778156997;51.171875
1.0;6.2;4.75;4.7;305.0;82.66;85.0;2.601651;36.8;10.0;2;1.7;276.2204978368825;10.0;12.280701754385964;51.11111111111111
0.990107;4.6;4.59;13.7;354.1;92.45;91.7;1.939189;34.3;6.7;4;4.9;229.863213614083;9.0;11.190476190476192;51.32978723404256
0.942511;4.5;4.62;14.8;403.4;98.3;100.0;1.537743;31.6;7.0;3;5.2;237.16670374789248;10.0;10.526315789473683;55.961070559610704
0.983742;4.6;4.48;22.4;380.0;94.01;100.0;2.4605;35.9;7.0;5;1.2;237.274954899128;10.0;11.252268602540836;50.10845986984816
1.0;5.0;4.52;17.6;413.4;88.6;86.7;2.703852;38.2;7.0;5;1.0;247.844908642971;10.0;20.62780269058296;50.29797377830752
0.9794;4.4;4.43;15.9;412.6;92.6;95.8;2.47939;33.0;6.6;6;0.9;232.539133702323;8.0;7.674144037780402;47.81188765512736
0.977314;5.0;4.44;12.1;380.8;93.6;100.0;2.959191;37.5;7.0;4;1.4;248.7748620817435;11.0;7.600950118764846;49.447748513169074
0.988386;5.2;4.72;17.0;407.9;89.64999999999999;92.1;3.132749;35.5;6.2;3;2.4;253.3206255599335;9.0;11.196911196911197;50.54294175715695
0.983574;4.8;4.5;12.7;400.0;90.58;100.0;2.369134;37.5;7.0;4;2.2;239.38405363511495;9.0;8.035714285714286;50.65597667638484
0.977735;4.3;4.5;24.0;396.5;89.45;93.3;1.814879;30.7;6.9;3;3.0;225.317182752245;8.0;12.648221343873518;52.95315682281058
0.994217;5.3;4.63;6.9;403.2;92.7;96.6;1.723159;31.7;7.0;3;1.1;249.467608286578;10.0;25.60386473429952;54.08496732026144
1.0;4.3;4.29;6.4;453.9;100.0;100.0;1.97205;36.0;7.0;4;4.3;233.218264053858;10.0;8.015267175572518;52.57142857142857
0.992418;5.2;4.68;15.8;392.6;95.5;97.4;2.475738;32.9;6.9;3;0.9;251.6880088605775;10.0;17.29957805907173;52.659574468085104
0.977922;5.0;4.6;16.2;399.8;95.65;100.0;2.930111;35.4;6.9;4;2.6;243.8590940521225;10.0;6.561360874848117;51.94174757281553
1.0;5.8;4.82;7.2;389.1;89.55000000000001;94.4;2.594604;37.5;7.0;4;1.7;271.683644235609;10.0;23.44632768361582;52.54901960784314
0.99623;5.4;4.66;16.8;390.1;93.67;97.6;3.083918;36.8;6.9;6;1.4;257.001057602267;11.0;17.486910994764397;49.798873692679
0.995492;5.1;4.38;17.0;396.5;76.78;86.2;2.086502;33.5;6.8;3;0.0;248.3941649610375;10.0;5.591397849462366;54.92537313432836
1.0;5.0;4.65;16.5;400.0;89.93;95.7;2.863283;34.0;6.9;3;0.8;242.378690897729;10.0;14.345114345114348;54.249737670514165
0.996718;5.0;4.53;8.0;385.0;97.84;100.0;3.23126;35.5;7.0;4;1.1;246.9944583051155;10.0;16.261398176291795;54.32489451476793
0.998745;5.5;4.48;14.4;383.4;94.3;100.0;2.857708;33.3;5.7;3;0.8;251.27033197165755;11.0;11.733800350262696;51.2781954887218
0.988383;5.1;4.5;16.8;399.9;96.95;100.0;2.507439;36.0;6.8;3;1.2;248.956190034416;10.0;13.594040968342645;52.14368482039398
0.998745;5.0;4.61;19.3;396.0;96.7;98.0;2.859621;35.0;6.4;3;0.0;247.15719156460295;10.0;11.55778894472362;54.79591836734694
0.993194;5.1;4.4;27.0;380.0;95.6;100.0;2.329713;37.3;6.6;3;4.7;246.309755555942;9.0;15.64625850340136;52.98969072164949
0.993;4.4;4.45;8.7;395.50000000000006;95.55;100.0;2.493015;31.8;6.9;4;66.0;225.125386993387;10.0;17.76251226692836;52.40259740259741
0.975601;4.9;4.53;12.3;415.7000000000001;100.0;100.0;3.101526;34.3;6.9;3;2.8;242.1837164902265;10.0;13.80952380952381;51.61787365177196
0.978652;5.1;4.38;8.1;400.0;83.56;90.5;2.92074;35.7;6.9;6;0.2;251.7105061148415;10.0;9.357798165137616;49.88363072148952
0.994666;5.2;4.53;23.3;367.00000000000006;100.0;100.0;2.733439;30.7;6.5;3;0.6;253.679496266753;11.0;9.497206703910614;53.44262295081968
0.996973;5.5;4.75;6.8;299.90000000000003;97.3;100.0;2.690217;32.1;10.0;2;2.3;260.6084526446395;10.0;17.582417582417584;53.24675324675325
1.0;5.9;4.86;2.7;272.20000000000005;68.8;61.1;1.71972;37.0;10.0;2;1.6;268.11205033401;10.0;9.96309963099631;45.27027027027027
0.997735;5.6;4.83;6.3;310.6;96.9;100.0;2.357337;36.8;10.0;2;1.8;267.306959308839;11.0;24.363636363636363;52.60770975056689
1.0;5.1;4.57;9.0;407.4;93.55;96.2;2.881405;32.6;6.4;6;1.7;250.9744758880605;9.0;12.446958981612449;50.61425061425061
0.995472;5.3;4.6;13.8;408.6;100.0;100.0;2.862634;35.3;6.8;3;0.7;252.526972532062;8.0;13.063063063063062;52.4822695035461
0.991162;4.8;4.41;6.5;392.3;90.2;92.3;2.344577;34.2;6.8;4;0.3;237.151620720624;10.0;13.052208835341366;49.01234567901235
0.993228;5.4;4.8;15.2;383.7;94.8;93.5;2.627181;33.1;6.7;6;0.0;256.8783104533695;11.0;12.895927601809955;49.66949952785647
1.0;6.2;4.72;3.6;329.5;98.5;100.0;2.78028;34.9;10.0;2;3.3;280.465442350848;10.0;21.951219512195124;50.179211469534046
1.0;6.4;4.62;5.0;288.90000000000003;83.35;88.9;2.109438;36.3;10.0;2;0.7;285.422711654414;11.0;8.55614973262032;52.752293577981646
0.99285;4.5;4.66;15.0;386.3;91.25;100.0;2.166149;29.8;6.3;4;0.0;253.7709870426235;10.0;17.843866171003718;54.434782608695656
0.9882;5.1;4.35;11.8;399.9;89.2;100.0;2.989227;34.4;7.0;4;1.0;248.76442411372;9.0;7.317073170731707;50.11467889908256
0.995181;5.7;4.73;4.5;309.6;84.66;90.5;2.33666;35.3;10.0;2;2.1;265.952543131177;11.0;22.807017543859647;50.70754716981132
0.995181;5.8;4.92;1.9;300.0;94.95;100.0;2.336679;34.8;10.0;2;1.2;265.5495818365765;11.0;9.933774834437086;44.97607655502392
0.968142;4.2;4.36;28.1;391.0;83.4;88.2;2.205154;28.8;6.9;3;1.6;233.288049542752;9.0;7.380952380952381;47.22222222222222
0.95401;5.9;4.64;9.3;333.4;98.15;100.0;2.521418;31.2;10.0;2;1.2;277.07411050084204;10.0;12.048192771084338;51.31195335276968
0.996973;4.9;4.64;8.9;396.7;87.0;90.3;3.007314;34.5;6.6;4;1.4;249.7502024564515;10.0;11.395348837209305;51.65615141955836
0.997227;5.5;4.9;12.8;289.5;100.0;100.0;1.431067;35.1;10.0;2;2.2;264.8381275217255;10.0;14.545454545454543;50.3562945368171
0.996991;5.4;4.68;15.5;387.6;97.05;93.8;3.033126;37.5;6.9;3;1.3;260.9805715297425;9.0;10.997442455242968;51.33333333333333
0.978723;4.7;4.42;10.2;396.0;97.8;100.0;1.689391;34.8;7.0;3;3.8;239.472444985084;9.0;7.865168539325842;50.48543689320388
0.993984;5.6;4.71;14.1;384.1;94.5;100.0;2.891406;38.0;6.2;3;0.6;260.35766397739553;8.0;13.993174061433448;48.622754491017965
0.998241;6.2;4.99;4.1;316.70000000000005;79.08;83.3;;38.1;10.0;2;2.1;271.665112816732;11.0;16.143497757847534;45.97701149425287
1.0;6.3;4.87;0.9;322.49999999999994;84.2;86.4;;36.7;10.0;2;1.4;283.562338194374;11.0;12.82051282051282;46.36363636363636
0.988187;5.8;4.99;5.5;321.3;65.5;73.9;;32.1;10.0;2;1.1;275.8574519939575;10.0;9.205020920502092;48.83116883116883
1.0;5.3;4.65;10.3;283.4;99.05;100.0;;36.3;10.0;2;1.4;256.4884255811905;11.0;8.092485549132949;45.87155963302752
0.987069;6.4;4.69;10.0;290.0;84.03999999999999;85.0;;34.3;10.0;2;1.0;300.601189333973;11.0;18.86120996441281;50.36496350364964
0.995181;5.4;4.64;6.6;320.90000000000003;68.67;83.3;;36.8;10.0;2;0.7;260.38981767514;11.0;8.620689655172415;47.963800904977376
1.0;4.7;4.71;10.1;284.20000000000005;98.76;100.0;;33.8;10.0;2;1.7;248.9620937207635;10.0;13.716814159292037;48.76847290640394
0.995438;5.2;4.71;10.3;347.7;97.85;100.0;;37.1;10.0;2;1.1;256.740316015854;11.0;22.181818181818183;48.08988764044943
0.989873;5.2;4.5;11.4;405.8;89.14999999999999;94.4;;35.8;7.1;3;3.4;248.980455845008;11.0;6.722689075630252;51.0148849797023
0.997481;5.1;4.54;15.4;295.40000000000003;100.0;100.0;;35.7;10.0;2;1.9;240.9291818972995;10.0;13.537117903930133;54.4392523364486
1.0;5.2;4.59;7.3;400.0;94.85;100.0;;38.7;7.1;4;0.8;246.241449832636;10.0;13.333333333333334;50.81788440567067
0.994722;4.8;4.42;17.9;327.1;84.35000000000001;90.9;;35.0;10.0;2;3.8;241.586756348407;11.0;11.538461538461538;53.57142857142857
1.0;5.9;4.64;12.7;309.6;100.0;100.0;;36.8;10.0;2;0.9;268.3440963881355;11.0;17.708333333333336;50.90497737556561
0.97868;5.1;4.6;14.2;394.2000000000001;93.65;94.1;;37.4;7.0;4;1.3;249.6016192825715;11.0;9.404990403071018;51.192842942345926
0.978994;5.4;4.51;18.3;375.8;94.87;95.7;;37.3;6.3;3;1.9;255.9979836277675;11.0;12.971698113207546;48.58044164037855
1.0;4.7;4.41;17.8;380.50000000000006;78.37;88.5;1.897168;31.3;7.1;3;3.5;240.69405880435448;8.0;10.328638497652582;52.2
0.952699;5.0;4.51;19.3;404.8;99.6;100.0;2.888427;34.7;6.8;3;1.2;250.14513161498547;10.0;18.5595567867036;53.251028806584365
0.994149;5.3;4.56;7.7;400.1;79.17999999999999;83.3;3.145161;29.8;7.0;4;1.4;252.7497148069125;11.0;13.78299120234604;47.71838331160365
0.991966;5.5;4.57;17.3;395.4;81.1;88.4;2.684318;35.4;7.0;3;2.4;258.589255971924;10.0;4.793028322440087;49.7737556561086
0.989123;6.2;4.65;8.2;315.90000000000003;97.96;100.0;3.035229;38.8;10.0;2;0.5;283.631054145524;11.0;11.055276381909549;54.56674473067916
0.995181;6.0;4.85;1.5;305.0;96.0;100.0;2.538211;35.7;10.0;2;0.8;274.0363453201345;11.0;18.803418803418804;44.783715012722645
1.0;5.5;4.55;14.8;406.9;100.0;100.0;2.422289;36.0;6.9;4;0.9;259.0731835324855;11.0;5.158069883527454;51.96560196560197
0.972936;5.2;4.49;14.5;379.6;99.15;100.0;2.545842;33.3;7.0;4;2.4;255.4076726003165;10.0;8.740359897172237;52.15264187866928
