ID_ESCOLA;NO_ESCOLA;REDE;RENDIMENTO_2023;SAEB_MAT_2023;SAEB_PORT_2023;SAEB_MEDIA_2023;IDEB_2023;INSE_2023;N_ALUNOS_INSE;INSE_CLASSIFICACAO;TDI_2023;IED_2023;Nome do Município;Nome da Escola;Dependência Administrativa;G1;G2;G3;G4;G5;AFD_2023;DSU_2023;IRD_2023;ATU_2023;HAD_2023;ICG_2023;TNR_2023;SPAECE_PORT_2023;SPAECE_MAT_2023;SPAECE_MEDIA_2023;INF_2023;ATU_CENSO_2023;PCB_2023;PCH_2023
23070137;ESCOLA MUNICIPAL CONEGO FRANCISCO PEREIRA DA SILVA;Municipal;0.971296;245.65;256.57;5.037;4.9;4.65;296;Nível IV;12.3;396.1;Fortaleza;ESCOLA MUNICIPAL CONEGO FRANCISCO PEREIRA DA SILVA;Municipal;67.2;0.0;1.1;0.0;31.7;67.75;84.6;2.24793;33.6;6.8;4;1.6;255.344050583993;234.810467595422;245.07725908970752;10.0;28.847826086956523;11.655011655011654;47.47550866616428
23070188;ESCOLA MUNICIPAL PROFESSORA FERNANDA MARIA DE ALENCAR COLARES;Municipal;1.0;275.77;287.14;6.0485;6.0;4.73;198;Nível IV;9.2;375.7;Fortaleza;ESCOLA MUNICIPAL PROFESSORA FERNANDA MARIA DE ALENCAR COLARES;Municipal;96.3;0.0;3.7;0.0;0.0;98.15;100.0;2.861419;34.3;7.0;4;0.6;281.43584723084;263.593714794275;272.5147810125575;10.0;26.5;7.713125845737482;50.37735849056604
23070250;ESCOLA MUNICIPAL DE TEMPO INTEGRAL FILGUEIRAS LIMA;Municipal;1.0;271.99;277.09;5.818;5.8;4.73;115;Nível IV;13.5;326.9;Fortaleza;ESCOLA MUNICIPAL DE TEMPO INTEGRAL FILGUEIRAS LIMA;Municipal;100.0;0.0;0.0;0.0;0.0;100.0;100.0;3.670211;36.4;10.1;3;5.1;271.627759728499;266.844272980556;269.23601635452746;11.0;28.043478260869566;16.5374677002584;48.68217054263566
23070846;ESCOLA MUNICIPAL DE TEMPO INTEGRAL GUIOMAR DA SILVA ALMEIDA;Municipal;1.0;261.74;271.58;5.555333;5.6;4.49;80;Nível III;7.0;319.9;Fortaleza;ESCOLA MUNICIPAL DE TEMPO INTEGRAL GUIOMAR DA SILVA ALMEIDA;Municipal;90.6;0.0;0.0;0.0;9.4;90.6;86.7;1.997823;37.5;10.0;2;1.0;264.473411409417;247.820832461796;256.1471219356065;11.0;37.5;6.882591093117409;54.0
23070870;ESCOLA MUNICIPAL GUSTAVO BARROSO;Municipal;0.976716;260.52;273.56;5.568;5.4;4.95;130;Nível IV;10.9;415.8;Fortaleza;ESCOLA MUNICIPAL GUSTAVO BARROSO;Municipal;89.0;6.6;0.0;0.0;4.4;94.28;94.7;3.07884;32.8;6.6;4;1.0;276.156485160953;249.826223384891;262.991354272922;10.0;25.115384615384617;14.685314685314683;50.84226646248086
23070960;ESCOLA MUNICIPAL HENRIQUETA GALENO;Municipal;0.992441;233.94;246.29;4.6705;4.6;4.7;312;Nível IV;17.1;388.0;Fortaleza;ESCOLA MUNICIPAL HENRIQUETA GALENO;Municipal;94.7;0.0;2.3;0.0;3.0;95.85;97.6;2.743203;33.4;6.9;6;2.5;243.668528981137;234.777953349805;239.223241165471;10.0;32.31111111111111;18.40120663650076;45.66712517193948
23071168;ESCOLA MUNICIPAL FRANCISCO SILVA CAVALCANTE;Municipal;1.0;249.92;257.29;5.120167;5.1;4.41;159;Nível III;20.3;400.2;Fortaleza;ESCOLA MUNICIPAL FRANCISCO SILVA CAVALCANTE;Municipal;86.7;2.0;7.9;0.0;3.4;92.25;94.9;2.29436;34.6;7.0;3;3.1;255.777718495417;244.391621759695;250.084670127556;11.0;34.5625;13.738019169329077;48.64376130198915
23071427;ESCOLA MUNICIPAL ISMAEL PORDEUS;Municipal;0.972863;242.85;256.21;4.984333;4.8;4.7;295;Nível IV;18.1;387.6;Fortaleza;ESCOLA MUNICIPAL ISMAEL PORDEUS;Municipal;96.9;0.0;0.0;0.0;3.1;96.9;96.9;2.976115;37.6;6.8;6;0.9;250.364041385215;234.850950809812;242.6074960975135;10.0;32.94117647058823;12.418300653594772;49.82142857142857
23071435;ESCOLA MUNICIPAL PROFESSOR JACINTO BOTELHO;Municipal;1.0;250.8;258.59;5.1565;5.2;4.73;183;Nível IV;12.6;399.8;Fortaleza;ESCOLA MUNICIPAL PROFESSOR JACINTO BOTELHO;Municipal;90.3;4.9;4.8;0.0;0.0;96.62;100.0;2.884943;31.5;6.8;6;1.0;260.607727576551;245.162572578275;252.885150077413;9.0;25.5;17.041800643086816;50.294117647058826
23071850;ESCOLA MUNICIPAL JOAO MENDES DE ANDRADE;Municipal;0.998493;231.65;248.06;4.661833;4.7;4.5;357;Nível III;15.4;385.3;Fortaleza;ESCOLA MUNICIPAL JOAO MENDES DE ANDRADE;Municipal;89.8;0.0;10.2;0.0;0.0;94.9;100.0;2.69974;33.2;6.9;6;1.5;240.625258864345;228.798054386092;234.7116566252185;9.0;30.225;13.636363636363637;51.1166253101737
