Nome do Município;ID_ESCOLA;Nome da Escola;Dependência Administrativa;G1;G2;G3;G4;G5;AFD_2023
Fortaleza;23078006;ESCOLA MUNICIPAL PROFESSORA TEREZINHA FERREIRA PARENTE;Municipal;89.9;0.0;2.2;0.0;7.9;91.0
Fortaleza;23078030;ESCOLA MUNICIPAL THOMAZ POMPEU SOBRINHO;Municipal;86.8;0.0;9.9;0.0;3.3;91.75
Fortaleza;23078162;ESCOLA MUNICIPAL TRISTAO DE ALENCAR;Municipal;;;;;;
Fortaleza;23078413;ESCOLA MUNICIPAL VICENTE FIALHO;Municipal;100.0;0.0;0.0;0.0;0.0;100.0
Fortaleza;23078553;ESCOLA MUNICIPAL WALDEMAR BARROSO;Municipal;80.1;0.0;12.9;0.0;7.0;86.55
Fortaleza;23078596;ESCOLA MUNICIPAL WASHINGTON SOARES;Municipal;99.2;0.0;0.8;0.0;0.0;99.60000000000001
Fortaleza;23078600;ESCOLA MUNICIPAL YOLANDA QUEIROZ;Municipal;93.9;0.0;6.1;0.0;0.0;96.95
Fortaleza;23078626;ESCOLA MUNICIPAL ZAIRA MONTEIRO GONDIM;Municipal;98.1;0.0;1.9;0.0;0.0;99.05
Fortaleza;23078677;ESCOLA MUNICIPAL MOREIRA DA ROCHA;Municipal;;;;;;
Fortaleza;23078693;ESCOLA MUNICIPAL JOSEFA BARROS DE ALENCAR;Municipal;;;;;;
Fortaleza;23078723;ESCOLA MUNICIPAL OTAVIO DE FARIAS;Municipal;;;;;;
Fortaleza;23078740;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DIOGO VITAL DE SIQUEIRA;Municipal;81.6;0.0;0.0;5.3;13.1;82.66
Fortaleza;23078766;ESCOLA MUNICIPAL CASIMIRO MONTENEGRO;Municipal;91.5;0.0;1.9;0.0;6.6;92.45
Fortaleza;23080124;ESCOLA MUNICIPAL JORNALISTA DURVAL AIRES;Municipal;92.4;7.0;0.6;0.0;0.0;98.3
Fortaleza;23184221;ESCOLA MUNICIPAL ANTONIO MENDES;Municipal;;;;;;
Fortaleza;23184558;ESCOLA MUNICIPAL MANUEL LIMA SOARES;Municipal;89.7;0.0;7.5;2.8;0.0;94.01
Fortaleza;23184680;ESCOLA MUNICIPAL PROFESSOR DENIZARD MACEDO DE ALCANTARA;Municipal;;;;;;
Fortaleza;23184779;ESCOLA MUNICIPAL RAIMUNDO SOARES DE SOUZA;Municipal;87.8;0.0;1.6;0.0;10.6;88.6
Fortaleza;23184914;ESCOLA MUNICIPAL PADRE ANTONIO MONTEIRO DA CRUZ;Municipal;87.8;0.0;9.6;0.0;2.6;92.6
Fortaleza;23186160;ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA;Municipal;92.0;0.0;0.0;8.0;0.0;93.6
Fortaleza;23186690;ESCOLA MUNICIPAL PROFESSOR OSMIRIO DE OLIVEIRA BARRETO;Municipal;;;;;;
Fortaleza;23186771;ESCOLA MUNICIPAL JOSE MOREIRA LEITAO;Municipal;;;;;;
Fortaleza;23186909;ESCOLA MUNICIPAL ABDENAGO DA ROCHA LIMA;Municipal;;;;;;
Fortaleza;23186950;ESCOLA MUNICIPAL MADRE TERESA DE CALCUTA;Municipal;;;;;;
Fortaleza;23187778;ESCOLA MUNICIPAL SANTA MARIA;Municipal;89.3;0.0;0.7;0.0;10.0;89.64999999999999
Fortaleza;23187840;ESCOLA MUNICIPAL PROFESSOR LUIS COSTA;Municipal;;;;;;
Fortaleza;23188375;ESCOLA MUNICIPAL PROFESSOR CLODOALDO PINTO;Municipal;;;;;;
Fortaleza;23189681;ESCOLA MUNICIPAL PROFESSORA MARIA LIDUINA CORREA LEITE;Municipal;;;;;;
Fortaleza;23190787;ESCOLA MUNICIPAL MARIA ROSELI LIMA MESQUITA;Municipal;;;;;;
Fortaleza;23198486;ESCOLA MUNICIPAL MARCOS VALENTIM PEREIRA DE SOUZA;Municipal;;;;;;
Fortaleza;23198818;ESCOLA MUNICIPAL MARIA FELICIO LOPES;Municipal;85.6;0.0;7.0;7.4;0.0;90.58
Fortaleza;23206152;ESCOLA MUNICIPAL MARILENE LOPES RABELO;Municipal;;;;;;
Fortaleza;23212543;ESCOLA MUNICIPAL PROFESSOR LUIS RECAMONDE CAPELO;Municipal;86.7;0.0;5.5;0.0;7.8;89.45
Fortaleza;23213140;ESCOLA MUNICIPAL MARIA ROCHELLE DA SILVA;Municipal;89.1;0.0;7.2;0.0;3.7;92.69999999999999
Fortaleza;23213736;ESCOLA MUNICIPAL HERBERT DE SOUZA;Municipal;;;;;;
Fortaleza;23214899;ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE;Municipal;100.0;0.0;0.0;0.0;0.0;100.0
