ID_ESCOLA;INF_2023;ATU_CENSO_2023;PCB_2023;PCH_2023
23256699;9.0;21.80952380952381;16.0;49.34497816593886
23256737;8.0;23.0;19.65811965811966;53.04347826086957
23256761;10.0;24.838709677419356;17.76251226692836;52.40259740259741
23256796;9.0;24.210526315789473;8.571428571428571;45.65217391304348
23256850;10.0;20.542857142857144;10.236220472440944;55.07649513212796
23256907;9.0;25.65625;24.37619961612284;52.25334957369062
23256915;10.0;30.55;13.494809688581316;51.391162029459906
23256923;9.0;24.075;9.62566844919786;49.11734164070612
23256966;6.0;24.7;9.420289855072465;56.2753036437247
23256990;8.0;20.59375;18.725099601593627;50.3793626707132
23257059;10.0;32.45;13.80952380952381;51.61787365177196
23257075;7.0;19.685714285714287;7.906976744186046;52.685050798258345
23257105;8.0;20.0;12.5;49.375
23257172;7.0;25.3125;10.545454545454545;51.23456790123457
23257202;11.0;24.157894736842106;21.983914209115284;52.8322440087146
23257237;9.0;23.261904761904763;32.51231527093596;49.12998976458546
23257300;10.0;25.466666666666665;16.08187134502924;53.141361256544506
23257334;6.0;20.97142857142857;20.526315789473685;51.63487738419619
23257342;10.0;25.217391304347824;15.895196506550219;53.44827586206896
23257369;10.0;25.78;9.357798165137615;49.883630721489524
23257393;8.0;18.956521739130434;11.881188118811881;57.798165137614674
23257440;9.0;25.058823529411764;21.45015105740181;54.694835680751176
23257482;8.0;20.82608695652174;36.734693877551024;55.323590814196244
23257520;8.0;19.6875;14.435695538057743;48.41269841269841
23257644;8.0;28.75;10.294117647058822;50.0
23257652;6.0;21.4;13.836477987421384;51.4018691588785
23257679;9.0;26.0;22.5;54.8582995951417
23257695;7.0;23.545454545454547;6.177606177606178;48.26254826254826
23257725;7.0;19.727272727272727;9.210526315789473;52.07373271889401
23257750;9.0;21.375;28.104575163398692;54.09356725146199
23257873;9.0;25.0;33.00970873786408;50.76923076923077
23257881;7.0;20.85185185185185;17.125984251968504;49.02309058614564
23259418;11.0;28.59375;9.497206703910614;53.442622950819676
23259540;10.0;32.083333333333336;17.582417582417584;53.246753246753244
23259558;10.0;37.0;9.96309963099631;45.27027027027027
23259566;10.0;13.5;20.689655172413794;59.25925925925925
23262605;9.0;23.314285714285713;16.210526315789473;50.0
23262613;11.0;36.75;24.363636363636363;52.60770975056689
23263040;9.0;28.75;22.444444444444443;51.08695652173913
23263075;10.0;23.61904761904762;15.648854961832063;48.891129032258064
23263113;9.0;26.70967741935484;19.53405017921147;52.53623188405797
23263121;10.0;24.325581395348838;19.319562575941678;51.434034416826
23263130;9.0;27.133333333333333;12.446958981612447;50.61425061425061
23263148;6.0;21.72;22.186495176848876;47.14548802946593
23263296;8.0;22.708333333333332;14.418604651162791;50.917431192660544
23263318;8.0;35.25;13.063063063063062;52.4822695035461
23263326;7.0;20.8;31.57894736842105;49.67948717948718
23263334;8.0;23.153846153846153;8.089500860585199;52.49169435215947
23264144;9.0;22.40740740740741;8.98876404494382;52.56198347107438
23264152;11.0;23.516666666666666;21.681864235055727;50.53153791637137
23264160;9.0;24.23076923076923;21.26865671641791;49.2063492063492
23264179;6.0;27.416666666666668;10.071942446043165;48.93617021276596
23264187;10.0;25.3125;13.052208835341366;49.01234567901235
23264209;11.0;25.829268292682926;12.895927601809957;49.66949952785647
23264780;10.0;34.875;21.951219512195124;50.179211469534046
23264799;11.0;36.333333333333336;8.55614973262032;52.752293577981646
23264810;10.0;25.1;18.617021276595743;55.37848605577689
23264896;9.0;;;
23264900;10.0;;;
23264918;6.0;;;
23265531;5.0;;;
23265558;0.0;;;
23265566;8.0;;;
23269170;10.0;22.115384615384617;17.843866171003718;54.434782608695656
23270560;9.0;23.666666666666668;26.765799256505574;52.738654147104846
23270675;9.0;28.129032258064516;7.317073170731707;50.11467889908256
23271493;11.0;35.333333333333336;22.807017543859647;50.70754716981132
23271507;10.0;27.122448979591837;12.5;51.39202407825433
23271531;8.0;24.318181818181817;18.59504132231405;51.77570093457944
23271540;7.0;19.61904761904762;18.263473053892216;51.69902912621359
23272007;11.0;34.833333333333336;9.933774834437086;44.97607655502392
23272082;0.0;;;
23272384;0.0;;;
23272406;8.0;;;
23272414;7.0;;;
23272449;0.0;;;
23272520;6.0;;;
23272554;6.0;;;
23272570;7.0;;;
23272694;9.0;28.8;7.380952380952381;47.22222222222222
23272708;10.0;31.181818181818183;12.048192771084338;51.31195335276968
23272716;10.0;27.153846153846153;13.468013468013467;51.13314447592068
23272724;10.0;26.97872340425532;11.395348837209303;51.65615141955836
23272732;8.0;20.3;28.32369942196532;52.21674876847291
23272740;9.0;22.637931034482758;11.6751269035533;51.94211728865194
23272759;7.0;25.666666666666668;5.449591280653951;52.435064935064936
23272767;0.0;;;
23272791;0.0;;;
23272848;0.0;;;
23273747;10.0;35.083333333333336;14.545454545454545;50.3562945368171
23273755;9.0;37.5;10.997442455242968;51.33333333333333
23273763;9.0;27.466666666666665;7.865168539325842;50.48543689320388
23273984;9.0;;;
23273992;0.0;;;
23274034;8.0;37.95454545454545;13.993174061433447;48.622754491017965
23274930;11.0;38.0625;16.143497757847534;45.97701149425287
23275006;11.0;36.666666666666664;12.82051282051282;46.36363636363636
23275146;10.0;32.083333333333336;9.205020920502092;48.83116883116883
23275154;11.0;36.333333333333336;8.092485549132949;45.87155963302752
23275219;6.0;;;
23275227;0.0;;;
23275235;8.0;;;
23277238;11.0;34.25;18.86120996441281;50.36496350364964
23277246;11.0;36.833333333333336;8.620689655172415;47.963800904977376
23277408;10.0;33.833333333333336;13.716814159292035;48.76847290640394
23277564;11.0;37.083333333333336;22.181818181818183;48.08988764044943
23277572;11.0;30.791666666666668;6.722689075630252;51.0148849797023
23279109;10.0;35.666666666666664;13.537117903930133;54.4392523364486
23279320;10.0;26.970588235294116;13.333333333333334;50.81788440567067
23279621;11.0;35.0;11.538461538461538;53.57142857142857
23280689;11.0;36.833333333333336;17.708333333333336;50.90497737556561
23280697;11.0;24.536585365853657;9.404990403071018;51.192842942345926
23280700;11.0;37.294117647058826;12.971698113207546;48.580441640378545
23302615;8.0;31.25;10.328638497652582;52.2
23304812;8.0;23.266666666666666;12.053571428571429;47.70773638968481
23311614;7.0;20.194444444444443;1.7985611510791366;50.06877579092159
23323469;9.0;37.0;9.803921568627452;53.37837837837838
23324244;10.0;26.6;18.11023622047244;46.616541353383454
23324252;9.0;24.175;18.30238726790451;52.84384694932782
23324260;8.0;22.13888888888889;16.428571428571427;49.68632371392723
23324279;10.0;31.153846153846153;18.559556786703602;53.251028806584365
23325216;11.0;25.566666666666666;13.78299120234604;47.71838331160365
23325224;10.0;35.36;4.793028322440087;49.7737556561086
23330015;6.0;20.916666666666668;27.131782945736433;50.199203187250994
23331615;11.0;38.81818181818182;11.055276381909549;54.56674473067916
23445645;7.0;22.733333333333334;20.80745341614907;50.146627565982406
23529989;11.0;35.72727272727273;18.803418803418804;44.783715012722645
23546018;8.0;20.733333333333334;10.83743842364532;49.19614147909968
23546026;8.0;25.175;11.406844106463879;52.92949354518372
23546999;9.0;25.375;2.112676056338028;50.24630541871922
23547987;11.0;32.56;5.158069883527454;51.96560196560197
23547995;10.0;27.62162162162162;8.740359897172237;52.15264187866928
