ID_ESCOLA;SPAECE_PORT_2023;SPAECE_MAT_2023;SPAECE_MEDIA_2023
23263130;255.898205366792;246.050746409329;250.9744758880605
23263318;264.786102468575;240.267842595549;252.52697253206202
23264187;246.732095265143;227.571146176105;237.151620720624
23264209;265.112461937907;248.644158968832;256.8783104533695
23264780;286.907759654013;274.023125047683;280.465442350848
23264799;288.140420234841;282.705003073987;285.422711654414
23269170;259.590549286102;247.951424799145;253.7709870426235
23270675;260.960381533566;236.568466693874;248.76442411372
23271493;272.000642534377;259.904443727977;265.952543131177
23272007;274.08410436607;257.015059307083;265.5495818365765
23272694;240.678922887928;225.897176197576;233.288049542752
23272708;280.850178290404;273.29804271128;277.07411050084204
23272724;258.34524837271;241.155156540193;249.7502024564515
23273747;270.762399206825;258.913855836626;264.8381275217255
23273755;270.064272314968;251.896870744517;260.9805715297425
23273763;246.140561845418;232.80432812475;239.472444985084
23274034;269.530231080065;251.185096874726;260.35766397739553
23274930;277.482695618995;265.847530014469;271.665112816732
23275006;294.787734261707;272.336942127041;283.562338194374
23275146;285.81757521481;265.897328773105;275.8574519939575
23275154;264.75631121952;248.220539942861;256.4884255811905
23277238;294.51503256327;306.687346104676;300.601189333973
23277246;269.216351293469;251.563284056811;260.38981767514
23277408;255.558507320268;242.365680121259;248.9620937207635
23277564;265.846992356762;247.633639674946;256.740316015854
23277572;257.620952529524;240.339959160492;248.980455845008
23279109;247.504283306059;234.35408048854;240.9291818972995
23279320;256.350796099486;236.132103565786;246.241449832636
23279621;247.906168797601;235.267343899213;241.586756348407
23280689;281.253496011223;255.434696765048;268.3440963881355
23280697;264.219268048481;234.983970516662;249.6016192825715
23280700;265.332115747525;246.66385150801;255.9979836277675
23302615;248.095242751096;233.292874857613;240.69405880435448
23324279;260.965123761834;239.325139468137;250.14513161498547
23325216;258.685730056708;246.813699557117;252.7497148069125
23325224;268.734449099874;248.444062843974;258.589255971924
23331615;289.189857606508;278.07225068454;283.631054145524
23529989;284.013294559646;264.059396080623;274.0363453201345
23547987;270.158405451078;247.987961613893;259.0731835324855
23547995;261.538979636022;249.276365564611;255.40767260031652
