ID_ESCOLA;NO_ESCOLA;REDE;RENDIMENTO_2023;SAEB_MAT_2023;SAEB_PORT_2023;SAEB_MEDIA_2023;IDEB_2023
23263130;ESCOLA MUNICIPAL JOAO HILDO DE CARVALHO FURTADO;Municipal;1.0;248.54;257.23;5.096167;5.1
23263318;ESCOLA MUNICIPAL REITOR PEDRO TEIXEIRA BARROSO;Municipal;0.995472;250.38;271.9;5.371333;5.3
23264187;ESCOLA MUNICIPAL PROFESSOR EDILSON BRASIL SOAREZ;Municipal;0.991162;238.92;253.6;4.875333;4.8
23264209;ESCOLA MUNICIPAL ODILON GONZAGA BRAVEZA;Municipal;0.993228;257.36;270.15;5.4585;5.4
23264780;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR JOSE JULIO DA PONTE;Municipal;1.0;283.85;286.5;6.1725;6.2
23264799;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALEXANDRE RODRIGUES DE ALBUQUERQUE;Municipal;1.0;288.1;296.47;6.4095;6.4
23269170;ESCOLA MUNICIPAL SAO RAFAEL;Municipal;0.99285;237.88;235.32;4.553333;4.5
23270675;ESCOLA MUNICIPAL JOSE CARLOS DA COSTA RIBEIRO;Municipal;0.9882;247.08;261.66;5.145667;5.1
23271493;ESCOLA MUNICIPAL DE TEMPO INTEGRAL NOSSA SENHORA DE FATIMA;Municipal;0.995181;267.06;274.25;5.6885;5.7
23272007;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA ODETE DA SILVA COLARES;Municipal;0.995181;271.49;276.55;5.800667;5.8
23272694;ESCOLA MUNICIPAL DELMA HERMINIA DA SILVA PEREIRA;Municipal;0.968142;226.44;234.68;4.352;4.2
23272708;ESCOLA MUNICIPAL DE TEMPO INTEGRAL JOSE CARVALHO;Municipal;0.95401;281.94;288.48;6.173667;5.9
23272724;ESCOLA MUNICIPAL SANTOS DUMONT;Municipal;0.996973;243.18;252.82;4.933333;4.9
23273747;ESCOLA MUNICIPAL DE TEMPO INTEGRAL HILDETE BRASIL DE SA CAVALCANTE;Municipal;0.997227;261.85;271.22;5.551167;5.5
23273755;ESCOLA MUNICIPAL NELSON MANDELA;Municipal;0.996991;255.95;266.24;5.369833;5.4
23273763;ESCOLA MUNICIPAL FRANCISCA ORIA SERPA - UNID II;Municipal;0.978723;239.02;248.04;4.784333;4.7
23274034;ESCOLA MUNICIPAL JOHNSON;Municipal;0.993984;263.57;273.48;5.6175;5.6
23274930;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR PRISCO BEZERRA;Municipal;0.998241;282.35;291.38;6.228833;6.2
23275006;ESCOLA MUNICIPAL DE TEMPO INTEGRAL LEONEL DE MOURA BRIZOLA;Municipal;1.0;283.33;297.63;6.349333;6.3
23275146;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR EXPEDITO PARENTE;Municipal;0.988187;272.59;282.05;5.910667;5.8
23275154;ESCOLA MUNICIPAL DE TEMPO INTEGRAL LAIS RODRIGUES DE ALMEIDA;Municipal;1.0;250.74;264.56;5.255;5.3
23277238;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DEPUTADO ROBERTO MESQUITA;Municipal;0.987069;295.31;296.19;6.525;6.4
23277246;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MARIA DA HORA;Municipal;0.995181;257.98;265.68;5.394333;5.4
23277408;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR AGERSON TABOSA PINTO;Municipal;1.0;236.38;243.41;4.663167;4.7
23277564;ESCOLA MUNICIPAL DE TEMPO INTEGRAL JOSE AROLDO CAVALCANTE MOTA;Municipal;0.995438;254.14;260.66;5.246667;5.2
23277572;ESCOLA MUNICIPAL PROFESSOR ASTHON GUILHERME DA SILVA;Municipal;0.989873;247.35;266.15;5.225;5.2
23279109;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PASTOR FLORENCIO NUNES NETO;Municipal;0.997481;246.06;261.38;5.124;5.1
23279320;ESCOLA MUNICIPAL PROFESSOR NOBERTO NOGUEIRA ALVES;Municipal;1.0;254.67;258.91;5.226333;5.2
23279621;ESCOLA MUNICIPAL DE TEMPO INTEGRAL VEREADOR ALBERTO GOMES DE QUEIROZ;Municipal;0.994722;240.0;251.9;4.865;4.8
23280689;ESCOLA MUNICIPAL DE TEMPO INTEGRAL REITOR ROBERTO CLAUDIO FROTA BEZERRA;Municipal;1.0;269.35;285.45;5.913333;5.9
23280697;ESCOLA MUNICIPAL ROSA DA FONSECA;Municipal;0.97868;247.07;264.45;5.192;5.1
23280700;ESCOLA MUNICIPAL DE TEMPO INTEGRAL JOSE CARLOS DE OLIVEIRA NETO;Municipal;0.978994;256.82;275.87;5.544833;5.4
23302615;ESCOLA MUNICIPAL NARCISO PESSOA DE ARAUJO;Municipal;1.0;235.6;245.03;4.677167;4.7
23324279;ESCOLA MUNICIPAL PROFESSORA MARIA ANTONEZIA MEIRELES E SA;Municipal;0.952699;249.53;265.39;5.248667;5.0
23325216;ESCOLA MUNICIPAL PROFESSOR MANUEL EDUARDO PINHEIRO CAMPOS;Municipal;0.994149;255.37;263.48;5.314167;5.3
23325224;ESCOLA MUNICIPAL PROFESSORA MARIA JOSE MACARIO COELHO;Municipal;0.991966;258.51;275.38;5.564833;5.5
23331615;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR JOAQUIM FRANCISCO DE SOUSA FILHO;Municipal;0.989123;287.4;290.75;6.3025;6.2
23529989;ESCOLA MUNICIPAL DE TEMPO INTEGRAL ALDEMIR MARTINS;Municipal;0.995181;277.45;281.76;5.986833;6.0
23547987;ESCOLA MUNICIPAL SECRETARIO PAULO PETROLA;Municipal;1.0;256.68;271.88;5.476;5.5
23547995;ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER;Municipal;0.972936;254.94;265.23;5.336167;5.2
